Distance In Route,Effective Grade Percent,Effective Speed Limit,Elevation
21,-0.5,25,12.54
21.05,-0.5,25,11.22
21.1,-0.5,25,9.9
21.15,-0.5,25,8.58
21.2,-0.5,25,7.26
21.25,-0.5,25,5.94
21.3,-0.5,25,4.62
21.35,0.5,25,3.3
21.4,0.5,25,4.62
21.45,0.5,25,5.94
21.5,0.5,25,7.26
21.55,0.5,25,8.58
21.6,0.5,25,9.9
21.65,0.5,25,11.22
21.7,0.5,25,12.54
21.75,0.5,25,13.86
21.8,0.5,25,15.18
21.85,0.5,25,16.5
21.9,0.5,25,17.82
21.95,0.5,25,19.14
22,0.5,25,20.46
22.05,0.5,25,21.78
22.1,0.5,25,23.1
22.15,0.5,25,24.42
22.2,0.5,25,25.74
22.25,0.5,25,27.06
22.3,0.5,25,28.38
22.35,0.5,25,29.7
22.4,0.5,25,31.02
22.45,0.5,25,32.34
22.5,0.5,25,33.66
22.55,0.5,25,34.98
22.6,0.5,25,36.3
22.65,0.5,25,37.62
22.7,0.5,25,38.94
22.75,0.5,25,40.26
22.8,0.5,25,41.58
22.85,0.5,25,42.9
22.9,0.5,25,44.22
22.95,0.5,25,45.54
23,0.5,25,46.86
23.05,0.5,25,48.18
23.1,0.5,25,49.5
23.15,0.5,25,50.82
23.2,0.5,25,52.14
23.25,0.5,25,53.46
23.3,0.5,25,54.78
23.35,0.5,25,56.1
23.4,0.5,25,57.42
23.45,0.5,25,58.74
23.5,0.5,25,60.06
23.55,0.5,25,61.38
23.6,0.5,25,62.7
23.65,0.5,25,64.02
23.7,0.5,25,65.34
23.75,0.5,25,66.66
23.8,0.5,25,67.98
23.85,0.5,25,69.3
23.9,0.5,25,70.62
23.95,0.5,25,71.94
24,0.5,25,73.26
24.05,0.5,25,74.58
24.1,0.5,25,75.9
24.15,0.5,25,77.22
24.2,0.5,25,78.54
24.25,0.5,25,79.86
24.3,0.5,25,81.18
24.35,0.5,25,82.5
24.4,0.5,25,83.82
24.45,0.5,25,85.14
24.5,0.5,25,86.46
24.55,0.5,25,87.78
24.6,0.5,25,89.1
24.65,0.5,25,90.42
24.7,0.5,25,91.74
24.75,0.5,25,93.06
24.8,0.5,25,94.38
24.85,0.5,25,95.7
24.9,0.5,25,97.02
24.95,0.5,25,98.34
25,0.5,25,99.66
